Datetime,AQI
2020-10-05,107.94642857142857
2020-10-06,118.64035087719299
2020-10-07,127.12931034482759
2020-10-08,129.69565217391303
2020-10-09,131.8849557522124
2020-10-10,135.5
2020-10-11,131.72566371681415
2020-10-12,140.80172413793105
2020-10-13,143.58928571428572
2020-10-14,138.12612612612614
2020-10-15,140.16814159292036
2020-10-16,134.01754385964912
2020-10-17,145.2844827586207
2020-10-18,140.94642857142858
2020-10-19,142.65454545454546
2020-10-20,139.34513274336283
2020-10-21,155.21052631578948
2020-10-22,159.4513274336283
2020-10-23,168.04166666666666
2020-10-24,171.12173913043478
2020-10-25,174.38793103448276
2020-10-26,176.25
2020-10-27,179.40350877192984
2020-10-28,177.49579831932772
2020-10-29,198.8448275862069
2020-10-30,190.95081967213116
2020-10-31,199.54621848739495
2020-11-01,200.68103448275863
2020-11-02,196.9391304347826
2020-11-03,198.80701754385964
2020-11-04,213.98260869565217
2020-11-05,227.43333333333334
2020-11-06,213.16528925619835
2020-11-07,218.15254237288136
2020-11-08,232.0
2020-11-09,241.0
2020-11-10,232.28925619834712
2020-11-11,208.4793388429752
2020-11-12,196.29268292682926
2020-11-13,186.61344537815125
2020-11-14,192.96747967479675
2020-11-15,214.64
2020-11-16,121.1880341880342
2020-11-17,107.43650793650794
2020-11-18,121.2890625
2020-11-19,139.86290322580646
2020-11-20,149.4206349206349
2020-11-21,135.24409448818898
2020-11-22,144.288
2020-11-23,168.0677966101695
2020-11-24,188.91596638655463
2020-11-25,200.5983606557377
2020-11-26,161.68376068376068
2020-11-27,126.00806451612904
2020-11-28,125.6639344262295
2020-11-29,146.46666666666667
2020-11-30,165.98319327731093
2020-12-01,183.19672131147541
2020-12-02,190.34453781512605
2020-12-03,196.82051282051282
2020-12-04,201.44736842105263
2020-12-05,190.609756097561
2020-12-06,194.03389830508473
2020-12-07,198.22935779816513
2020-12-08,189.98347107438016
2020-12-09,185.1290322580645
2020-12-10,159.625
2020-12-11,151.128
2020-12-12,156.0909090909091
2020-12-13,145.49166666666667
2020-12-14,120.40336134453781
2020-12-15,138.91803278688525
2020-12-16,156.23809523809524
2020-12-17,150.4488188976378
2020-12-18,151.4920634920635
2020-12-19,161.85826771653544
2020-12-20,179.0
2020-12-21,177.62809917355372
2020-12-22,213.29921259842519
2020-12-23,219.5275590551181
2020-12-24,214.07142857142858
2020-12-25,199.0625
2020-12-26,190.62790697674419
2020-12-27,212.49180327868854
2020-12-28,188.47107438016528
2020-12-29,183.89763779527559
2020-12-30,173.40650406504065
2020-12-31,180.86507936507937
2021-01-01,213.28
2021-01-02,222.9016393442623
2021-01-03,210.04032258064515
2021-01-04,149.1219512195122
2021-01-05,137.9758064516129
2021-01-06,142.4351145038168
2021-01-07,141.34883720930233
2021-01-08,135.9179104477612
2021-01-09,143.04651162790697
2021-01-10,147.484126984127
2021-01-11,142.73170731707316
2021-01-12,146.49586776859505
2021-01-13,166.1860465116279
2021-01-14,181.1811023622047
2021-01-15,181.2421875
2021-01-16,178.992
2021-01-17,169.26612903225808
2021-01-18,189.4878048780488
2021-01-19,199.78048780487805
2021-01-20,174.75193798449612
2021-01-21,168.7153846153846
2021-01-22,179.33858267716536
2021-01-23,177.2109375
2021-01-24,191.3298969072165
2021-01-25,186.53658536585365
2021-01-26,172.875
2021-01-27,168.904
2021-01-28,183.3613445378151
2021-01-29,190.2983870967742
2021-01-30,177.15873015873015
2021-01-31,177.36
2021-02-01,181.82258064516128
2021-02-02,183.76859504132233
2021-02-03,182.37704918032787
2021-02-04,157.43548387096774
2021-02-05,122.7741935483871
2021-02-06,121.88188976377953
2021-02-07,126.11023622047244
2021-02-08,149.38842975206612
2021-02-09,167.26923076923077
